id,study_id,user_id,phone_id,sensorBoard_id,sensorType_id,reading,dateSampled,locationLatitude,locationLongitude,locationAltitude,locationSource,locationAccuracy,dateStored
179275,5,22,11,2,7,34.00,2011-12-11 05:24:54-08,32.8553650,-117.2593660,0.000000,O3,0.000000,2011-12-11 05:25:31.390828-08
355664,5,22,11,2,7,25.00,2011-12-12 11:47:52-08,32.8552925,-117.2593685,0.000000,O3,0.000000,2011-12-12 11:48:31.137799-08
397222,5,22,11,2,7,8.00,2011-12-12 22:56:39-08,32.8539096,-117.2602002,0.000000,O3,0.000000,2011-12-12 22:57:22.891184-08
400672,5,22,11,2,7,34.00,2011-12-12 23:44:24-08,32.8617539,-117.2568708,0.000000,O3,0.000000,2011-12-12 23:45:08.819197-08
400675,5,22,11,2,7,0.00,2011-12-12 23:44:05-08,32.8695982,-117.2535414,0.000000,NO2,0.000000,2011-12-12 23:45:08.869303-08
438963,5,22,11,2,7,42.00,2011-12-13 09:54:47-08,32.8546150,-117.2577819,0.000000,O3,0.000000,2011-12-13 09:55:25.950057-08
438971,5,22,11,2,7,34.00,2011-12-13 09:53:45-08,32.8644262,-117.2544698,0.000000,O3,0.000000,2011-12-13 09:55:26.08404-08
441461,5,22,11,2,7,25.00,2011-12-13 10:34:23-08,32.8519714,-117.2618674,0.000000,O3,0.000000,2011-12-13 10:34:55.755493-08
442091,5,22,11,2,7,34.00,2011-12-13 10:44:26-08,32.8665121,-117.2533504,0.000000,O3,0.000000,2011-12-13 10:45:05.947051-08
453529,5,22,11,2,7,25.00,2011-12-13 13:48:37-08,32.8700632,-117.2466061,0.000000,O3,0.000000,2011-12-13 13:49:21.568759-08
453613,5,22,11,2,7,17.00,2011-12-13 13:40:05-08,32.8599315,-117.2537048,0.000000,CO,0.000000,2011-12-13 13:49:23.023922-08
454265,5,22,11,2,7,17.00,2011-12-13 14:00:38-08,32.9631693,-117.1640533,0.000000,O3,0.000000,2011-12-13 14:01:13.600122-08
454268,5,22,11,2,7,25.00,2011-12-13 14:00:00-08,32.9556980,-117.1960530,0.000000,O3,0.000000,2011-12-13 14:01:13.651918-08
454276,5,22,11,2,7,42.00,2011-12-13 13:59:07-08,32.9537939,-117.1970512,0.000000,O3,0.000000,2011-12-13 14:01:13.789911-08
454293,5,22,11,2,7,25.00,2011-12-13 13:57:28-08,32.9378221,-117.2293777,0.000000,O3,0.000000,2011-12-13 14:01:14.083838-08
454309,5,22,11,2,7,111.00,2011-12-13 13:55:48-08,32.9325337,-117.2406575,0.000000,O3,0.000000,2011-12-13 14:01:14.36107-08
454318,5,22,11,2,7,18.00,2011-12-13 13:54:58-08,32.9121413,-117.2285341,0.000000,CO,0.000000,2011-12-13 14:01:14.516959-08
454326,5,22,11,2,7,17.00,2011-12-13 13:54:10-08,32.9065542,-117.2251287,0.000000,O3,0.000000,2011-12-13 14:01:14.655764-08
454334,5,22,11,2,7,34.00,2011-12-13 13:53:24-08,32.8894808,-117.2299664,0.000000,O3,0.000000,2011-12-13 14:01:14.794729-08
454351,5,22,11,2,7,25.00,2011-12-13 13:51:46-08,32.8901217,-117.2309932,0.000000,O3,0.000000,2011-12-13 14:01:15.089535-08
454359,5,22,11,2,7,34.00,2011-12-13 13:51:03-08,32.8893235,-117.2306559,0.000000,O3,0.000000,2011-12-13 14:01:15.228015-08
454367,5,22,11,2,7,18.00,2011-12-13 13:50:18-08,32.8879452,-117.2432534,0.000000,CO,0.000000,2011-12-13 14:01:15.366967-08
455020,5,22,11,2,7,25.00,2011-12-13 14:12:54-08,32.9963000,-117.0786411,0.000000,O3,0.000000,2011-12-13 14:13:37.468907-08
455047,5,22,11,2,7,84.00,2011-12-13 14:09:58-08,33.0058865,-117.0641130,0.000000,O3,0.000000,2011-12-13 14:13:37.922019-08
455055,5,22,11,2,7,111.00,2011-12-13 14:09:15-08,33.0137723,-117.0796708,0.000000,O3,0.000000,2011-12-13 14:13:38.056303-08
455064,5,22,11,2,7,34.00,2011-12-13 14:08:16-08,33.0126835,-117.0790894,0.000000,O3,0.000000,2011-12-13 14:13:38.207803-08
455072,5,22,11,2,7,17.00,2011-12-13 14:07:24-08,33.0013590,-117.0840685,0.000000,O3,0.000000,2011-12-13 14:13:38.342285-08
455080,5,22,11,2,7,9.00,2011-12-13 14:06:34-08,32.9844068,-117.0846925,0.000000,CO,0.000000,2011-12-13 14:13:38.477853-08
455088,5,22,11,2,7,34.00,2011-12-13 14:05:47-08,32.9692517,-117.0927866,0.000000,O3,0.000000,2011-12-13 14:13:38.612692-08
455105,5,22,11,2,7,25.00,2011-12-13 14:04:24-08,32.9650152,-117.0939507,0.000000,O3,0.000000,2011-12-13 14:13:38.898581-08
455113,5,22,11,2,7,25.00,2011-12-13 14:03:29-08,32.9580164,-117.1150869,0.000000,O3,0.000000,2011-12-13 14:13:39.033039-08
455122,5,22,11,2,7,17.00,2011-12-13 14:02:51-08,32.9559464,-117.1341613,0.000000,O3,0.000000,2011-12-13 14:13:39.184552-08
455130,5,22,11,2,7,25.00,2011-12-13 14:01:59-08,32.9626916,-117.1637810,0.000000,O3,0.000000,2011-12-13 14:13:39.319295-08
460161,5,22,11,2,7,111.00,2011-12-13 15:39:20-08,33.0098723,-117.0470880,0.000000,O3,0.000000,2011-12-13 15:40:07.685459-08
460162,5,22,11,2,7,34.00,2011-12-13 15:39:11-08,33.0045274,-117.0611331,0.000000,O3,0.000000,2011-12-13 15:40:07.702257-08
