date,time,use,air1,bathroom1,car1,clotheswasher1,dishwasher1,disposal1,dryg1,furnace1,gen,grid,kitchenapp1,kitchenapp2,livingroom1,microwave1,oven1,refrigerator1,venthood1,watermeter
1/17/2016 0:00,0:00,0.702066667,0.158333333,0,0,0,0,0,0,0.0246,-0.008,0.702066667,0,0,0.034,0.0034,0.009,0.076933333,0,
1/17/2016 0:15,0:15,2.218266667,1.515933333,0,0,0,0,0,0,0.205866667,-0.008,2.218266667,0,0,0.034,0.003,0.009,0.074466667,0,
1/17/2016 0:30,0:30,1.843,1.254933333,0,0,0,0,0,0,0.1498,-0.007533333,1.843,0,0,0.034,0.003,0.009,0.014133333,0,
1/17/2016 0:45,0:45,0.9076,0.360333333,0,0,0,0,0,0,0.076,-0.007933333,0.9076,0,0,0.034,0.0032,0.009,0.035066667,0,
1/17/2016 1:00,1:00,1.905,1.235333333,0,0,0,0,0,0,0.1728,-0.008,1.905,0,0,0.034,0.003,0.009,0.077,0,
1/17/2016 1:15,1:15,2.2172,1.518933333,0,0,0,0,0,0,0.2078,-0.008,2.2172,0,0,0.034,0.003,0.009,0.074466667,0,
1/17/2016 1:30,1:30,0.505466667,0.039,0,0,0,0,0,0,0.009,-0.008,0.505466667,0,0,0.034866667,0.003,0.009,0.0096,0,
1/17/2016 1:45,1:45,2.6968,1.991533333,0,0,0,0,0,0,0.260666667,-0.0076,2.6968,0,0,0.034466667,0.003,0.009,0.0392,0,
1/17/2016 2:00,2:00,0.566266667,0.039,0,0,0,0,0,0,0.009,-0.008,0.566266667,0,0,0.034,0.003066667,0.009,0.076333333,0,
1/17/2016 2:15,2:15,2.780133333,2.038266667,0,0,0,0,0,0,0.267066667,-0.008,2.780133333,0,0,0.034133333,0.003,0.009,0.067533333,0,
1/17/2016 2:30,2:30,0.502466667,0.039,0,0,0,0,0,0,0.009,-0.008,0.502466667,0,0,0.034,0.003,0.009,0.007133333,0,
1/17/2016 2:45,2:45,2.826133333,2.1,0,0,0,0,0,0,0.273733333,-0.0076,2.826133333,0,0,0.034,0.003,0.009,0.049,0,
1/17/2016 3:00,3:00,0.820533333,0.2692,0,0,0,0,0,0,0.0376,-0.008,0.820533333,0,0,0.034066667,0.003,0.009,0.0752,0,
1/17/2016 3:15,3:15,2.638533333,1.920666667,0,0,0,0,0,0,0.251733333,-0.008,2.638533333,0,0,0.034,0.003,0.009,0.058666667,0,
1/17/2016 3:30,3:30,1.059333333,0.544,0,0,0,0,0,0,0.070466667,-0.0078,1.059333333,0,0,0.034066667,0.003,0.009,0.008533333,0,
1/17/2016 3:45,3:45,1.483,0.865,0,0,0,0,0,0,0.1328,-0.007666667,1.483,0,0,0.035,0.003,0.009,0.058666667,0,
1/17/2016 4:00,4:00,2.042266667,1.358666667,0,0,0,0,0,0,0.194,-0.008,2.042266667,0,0,0.032733333,0.003,0.009,0.075066667,0,
1/17/2016 4:15,4:15,1.716133333,1.110733333,0,0,0,0,0,0,0.136266667,-0.007666667,1.716133333,0,0,0.032,0.003,0.009,0.049666667,0,
1/17/2016 4:30,4:30,0.947,0.423266667,0,0,0,0,0,0,0.0826,-0.007866667,0.947,0,0,0.032,0.003,0.009,0.007666667,0,
1/17/2016 4:45,4:45,2.925,2.171333333,0,0,0,0,0,0,0.2838,-0.007866667,2.925,0,0,0.032133333,0.003,0.009,0.0678,0,
1/17/2016 5:00,5:00,0.998133333,0.432266667,0,0,0,0,0,0,0.0572,-0.008,0.998133333,0,0,0.034133333,0.003,0.009,0.074866667,0,
1/17/2016 5:15,5:15,1.6396,1.027866667,0,0,0,0,0,0,0.152333333,-0.008,1.6396,0,0,0.034,0.003,0.009,0.036266667,0,
1/17/2016 5:30,5:30,2.799666667,2.130733333,0,0,0,0,0,0,0.2546,-0.007133333,2.799666667,0,0,0.034066667,0.003,0.009,0.009733333,0,
1/17/2016 5:45,5:45,0.821866667,0.243133333,0,0,0,0,0,0,0.060266667,-0.008,0.821866667,0,0,0.0342,0.003,0.009,0.078533333,0,
1/17/2016 6:00,6:00,3.1562,2.422,0,0,0,0,0,0,0.293466667,-0.007466667,3.1562,0,0,0.032733333,0.003066667,0.009,0.0768,0,
1/17/2016 6:15,6:15,0.777066667,0.2662,0,0,0,0,0,0,0.0562,-0.007666667,0.777066667,0,0,0.032,0.003,0.009,0.049866667,0,
1/17/2016 6:30,6:30,2.991933333,2.321733333,0,0,0,0,0,0,0.2968,-0.007,2.991933333,0,0,0.032,0.003,0.009,0.007266667,0,
1/17/2016 6:45,6:45,1.172533333,0.596733333,0,0,0,0,0,0,0.076666667,-0.007733333,1.172533333,0,0,0.032,0.003,0.009,0.072266667,0,
1/17/2016 7:00,7:00,2.701466667,1.9148,0,0,0.009866667,0,0,0,0.250333333,-0.007333333,2.701466667,0,0,0.056866667,0.003066667,0.009,0.076066667,0,
1/17/2016 7:15,7:15,1.835466667,1.040266667,0,0,0.0906,0,0,0,0.129,-0.009066667,1.835466667,0,0.000266667,0.1004,0.074533333,0.009,0.051533333,0,
1/17/2016 7:30,7:30,2.752733333,1.6462,0,0,0.103733333,0,0,0,0.2178,-0.009,2.752666667,0,0.000266667,0.3034,0.075466667,0.009666667,0.055533333,0,
1/17/2016 7:45,7:45,3.3918,1.399666667,0,0,0.0952,0.001666667,0.000733333,0,0.168666667,0.0218,3.367733333,0.000866667,0.950266667,0.289466667,0.002333333,0.0118,0.0836,0,
1/17/2016 8:00,8:00,2.6352,1.3214,0,0,0.099466667,0.0006,0,0,0.1786,0.067133333,2.567866667,0,0.2502,0.246133333,0.003466667,0.0104,0.075666667,0,
1/17/2016 8:15,8:15,2.914133333,1.740933333,0,0,0.1502,0,0,0,0.214466667,0.42,2.494266667,0,0,0.2346,0.004,0.009466667,0.078666667,0,
1/17/2016 8:30,8:30,1.868333333,1.017133333,0,0,0,0,0,0,0.141266667,0.901133333,0.9672,0,0,0.234466667,0.003266667,0.009,0.027266667,0,
1/17/2016 8:45,8:45,1.693533333,0.903333333,0,0,0,0,0,0,0.134933333,1.172533333,0.521066667,0,0,0.241933333,0.0032,0.009,0.0362,0,
1/17/2016 9:00,9:00,2.395266667,1.635866667,0,0,0,0,0,0,0.217866667,1.344066667,1.051066667,0,0,0.130666667,0.0034,0.009,0.0782,0,
1/17/2016 9:15,9:15,2.412,1.783,0,0,0,0,0,0,0.227733333,1.772666667,0.6396,0,0,0.034,0.003,0.009,0.074733333,0,
1/17/2016 9:30,9:30,0.443333333,0.038,0,0,0,0,0,0,0.0152,2.004333333,-1.561133333,0,0,0.034,0.003,0.009,0.031666667,0,
1/17/2016 9:45,9:45,2.802466667,2.187066667,0,0,0,0,0,0,0.2738,2.234733333,0.568,0,0,0.034,0.003133333,0.009,0.0246,0,
1/17/2016 10:00,10:00,1.9302,1.364133333,0,0,0,0,0,0,0.1564,2.463866667,-0.533933333,0,0,0.032466667,0.003733333,0.009,0.077466667,0,
1/17/2016 10:15,10:15,0.880933333,0.381,0,0,0,0,0,0,0.073666667,2.706133333,-1.825133333,0,0,0.0322,0.003266667,0.009,0.072133333,0,
1/17/2016 10:30,10:30,2.400533333,1.863466667,0,0,0,0,0,0,0.209333333,2.9558,-0.5552,0,0,0.0348,0.003,0.009,0.007,0,
1/17/2016 10:45,10:45,1.179333333,0.261066667,0,0.4224,0,0,0,0,0.060533333,3.176,-1.996666667,0,0,0.036333333,0.0036,0.009533333,0.053666667,0,
1/17/2016 11:00,11:00,5.4422,1.294733333,0,3.316533333,0,0,0,0,0.174933333,3.3636,2.0786,0,0.0002,0.049066667,0.068066667,0.013,0.1554,0.000266667,
1/17/2016 11:15,11:15,3.414933333,0.0396,0,2.879333333,0,0,0,0,0.009,3.5226,-0.107666667,0,0,0.0328,0.004,0.012466667,0.076,0,
1/17/2016 11:30,11:30,0.523133333,0.039,0,0.005933333,0,0,0,0,0.009,3.5132,-2.990066667,0,0,0.0344,0.003933333,0.009,0.0728,0,
1/17/2016 11:45,11:45,0.4528,0.039,0,0,0,0,0,0,0.009,3.786066667,-3.333466667,0,0,0.034466667,0.003,0.009,0.007266667,0,
1/17/2016 12:00,12:00,0.997533333,0.038466667,0,0,0,0.001266667,0,0,0.009,3.8746,-2.877,0,0.4468,0.032666667,0.002666667,0.010066667,0.073,0,
1/17/2016 12:15,12:15,0.867333333,0.039,0,0,0,0,0,0.079666667,0.009,3.978133333,-3.110866667,0,0.0524,0.042866667,0.070733333,0.009333333,0.088933333,0,
1/17/2016 12:30,12:30,1.157666667,0.039,0,0,0,0,0,0.2706,0.009,3.462066667,-2.304466667,0,0,0.0326,0.004866667,0.01,0.079,0,
1/17/2016 12:45,12:45,1.200733333,0.039,0,0,0,0,0,0.281466667,0.009,3.584,-2.383333333,0,0,0.032733333,0.004133333,0.01,0.075933333,0,
1/17/2016 13:00,13:00,1.0788,0.038933333,0,0,0,0,0,0.244933333,0.009,3.044333333,-1.9654,0,0,0.034266667,0.004866667,0.01,0.075933333,0,
1/17/2016 13:15,13:15,0.8602,0.038866667,0,0,0,0,0,0.0124,0.009,3.1946,-2.3346,0,0,0.0464,0.005,0.01,0.073733333,0,
1/17/2016 13:30,13:30,0.741466667,0.038933333,0,0,0,0,0,0.0124,0.009,3.090666667,-2.349133333,0,0,0.056733333,0.004333333,0.01,0.031133333,0,
1/17/2016 13:45,13:45,0.8612,0.224666667,0,0,0,0,0,0.012333333,0.031666667,2.981733333,-2.1206,0,0,0.0552,0.004,0.009533333,0.039466667,0,
1/17/2016 14:00,14:00,1.478933333,0.8834,0,0,0,0,0,0.0102,0.127933333,2.572133333,-1.093333333,0,0,0.055066667,0.004,0.009,0.078733333,0,
1/17/2016 14:15,14:15,0.533666667,0.039,0,0,0,0,0,0.006533333,0.009,3.509866667,-2.976,0,0,0.064133333,0.004,0.009,0.076066667,0,
1/17/2016 14:30,14:30,2.102733333,1.5138,0,0,0,0,0,0,0.164933333,2.162266667,-0.059533333,0,0,0.036533333,0.003933333,0.009,0.0764,0,
1/17/2016 14:45,14:45,3.919533333,3.203066667,0,0,0,0,0,0,0.309,3.071933333,0.847533333,0,0,0.032266667,0.003933333,0.009,0.0734,0,
1/17/2016 15:00,15:00,3.913266667,3.2954,0,0,0,0,0,0,0.307933333,3.4374,0.475733333,0,0,0.034933333,0.003,0.009,0.007533333,0,
1/17/2016 15:15,15:15,2.442066667,1.828933333,0,0,0,0,0,0,0.208733333,2.820533333,-0.378266667,0,0,0.034,0.0038,0.009,0.070466667,0,
1/17/2016 15:30,15:30,2.641866667,2.009733333,0,0,0,0,0,0,0.219866667,2.517333333,0.124666667,0,0,0.034,0.004,0.009,0.078266667,0,
1/17/2016 15:45,15:45,2.0346,1.465133333,0,0,0,0,0,0,0.150266667,2.390533333,-0.356,0,0,0.034,0.004,0.009,0.075933333,0,
1/17/2016 16:00,16:00,1.733866667,1.1908,0,0,0,0,0,0,0.1496,1.706133333,0.0278,0,0,0.034133333,0.003533333,0.009,0.045666667,0,
1/17/2016 16:15,16:15,2.264333333,1.685,0,0,0,0,0,0,0.193266667,0.720066667,1.544466667,0,0,0.034,0.0032,0.009,0.0254,0,
1/17/2016 16:30,16:30,1.766866667,1.1732,0,0,0,0,0,0,0.123933333,1.184733333,0.582066667,0,0,0.0342,0.004,0.009,0.079733333,0,
1/17/2016 16:45,16:45,0.949,0.4214,0,0,0,0,0,0,0.074,1.131933333,-0.182933333,0,0,0.034,0.003866667,0.009,0.076066667,0,
1/17/2016 17:00,17:00,0.487533333,0.039,0,0,0,0,0,0,0.009,0.4602,0.027266667,0,0,0.034933333,0.004,0.009,0.075666667,0,
1/17/2016 17:15,17:15,0.422866667,0.039,0,0,0,0,0,0,0.009,0.136933333,0.286,0,0,0.034666667,0.003066667,0.009,0.014133333,0,
1/17/2016 17:30,17:30,0.527133333,0.039,0,0,0,0,0,0,0.009,0.0322,0.494,0,0,0.032466667,0.003533333,0.009,0.053866667,0,
1/17/2016 17:45,17:45,0.597333333,0.039,0,0,0,0,0,0,0.009,-0.008,0.597333333,0,0,0.032,0.003466667,0.009,0.080533333,0,
1/17/2016 18:00,18:00,0.614666667,0.039,0,0,0,0,0,0,0.009,-0.008,0.614666667,0,0,0.032,0.003066667,0.009,0.076933333,0,
1/17/2016 18:15,18:15,0.614133333,0.039,0,0,0,0,0,0,0.009,-0.008,0.614133333,0,0,0.032,0.003,0.009,0.075733333,0,
1/17/2016 18:30,18:30,0.759666667,0.038533333,0,0,0,0,0,0,0.009,-0.007933333,0.759666667,0,0,0.146,0.0034,0.009,0.074866667,0,
1/17/2016 18:45,18:45,2.329933333,0.038133333,0,0,0,0.002133333,0,0,0.009,-0.010066667,2.329933333,0,0.9972,0.264733333,0.483133333,0.011333333,0.0288,0.0008,
1/17/2016 19:00,19:00,1.805533333,0.038933333,0,0,0,0,0,0,0.009,-0.0072,1.805533333,0,0.332066667,0.277733333,0.568866667,0.009866667,0.0866,0.001066667,
1/17/2016 19:15,19:15,0.9516,0.038133333,0,0,0,0,0,0,0.009,-0.007933333,0.9516,0,0.0002,0.2654,0.026866667,0.009,0.084533333,0,
