date,time,bathroom1,car1,clotheswasher1,dishwasher1,disposal1,kitchenapp1,kitchenapp2,livingroom1,microwave1,venthood1,water,isCooking,isUsingWater,isPluggingInCar,BathroomOccupancy
1/17/2016 0:00,0:00,0,0,0,0,0,0,0,0.034,0.0034,0,0,0,0,0,0
1/17/2016 0:15,0:15,0,0,0,0,0,0,0,0.034,0.003,0,0,0,0,0,0
1/17/2016 0:30,0:30,0,0,0,0,0,0,0,0.034,0.003,0,0,0,0,0,0
1/17/2016 0:45,0:45,0,0,0,0,0,0,0,0.034,0.0032,0,0,0,0,0,0
1/17/2016 1:00,1:00,0,0,0,0,0,0,0,0.034,0.003,0,0,0,0,0,0
1/17/2016 1:15,1:15,0,0,0,0,0,0,0,0.034,0.003,0,0,0,0,0,0
1/17/2016 1:30,1:30,0,0,0,0,0,0,0,0.034866667,0.003,0,0,0,0,0,0
1/17/2016 1:45,1:45,0,0,0,0,0,0,0,0.034466667,0.003,0,0,0,0,0,0
1/17/2016 2:00,2:00,0,0,0,0,0,0,0,0.034,0.003066667,0,0,0,0,0,0
1/17/2016 2:15,2:15,0,0,0,0,0,0,0,0.034133333,0.003,0,0,0,0,0,0
1/17/2016 2:30,2:30,0,0,0,0,0,0,0,0.034,0.003,0,0,0,0,0,0
1/17/2016 2:45,2:45,0,0,0,0,0,0,0,0.034,0.003,0,0,0,0,0,0
1/17/2016 3:00,3:00,0,0,0,0,0,0,0,0.034066667,0.003,0,0,0,0,0,0
1/17/2016 3:15,3:15,0,0,0,0,0,0,0,0.034,0.003,0,0,0,0,0,0
1/17/2016 3:30,3:30,0,0,0,0,0,0,0,0.034066667,0.003,0,0,0,0,0,0
1/17/2016 3:45,3:45,0,0,0,0,0,0,0,0.035,0.003,0,0,0,0,0,0
1/17/2016 4:00,4:00,0,0,0,0,0,0,0,0.032733333,0.003,0,0,0,0,0,0
1/17/2016 4:15,4:15,0,0,0,0,0,0,0,0.032,0.003,0,0,0,0,0,0
1/17/2016 4:30,4:30,0,0,0,0,0,0,0,0.032,0.003,0,0,0,0,0,0
1/17/2016 4:45,4:45,0,0,0,0,0,0,0,0.032133333,0.003,0,0,0,0,0,0
1/17/2016 5:00,5:00,0,0,0,0,0,0,0,0.034133333,0.003,0,0,0,0,0,0
1/17/2016 5:15,5:15,0,0,0,0,0,0,0,0.034,0.003,0,0,0,0,0,0
1/17/2016 5:30,5:30,0,0,0,0,0,0,0,0.034066667,0.003,0,0,0,0,0,0
1/17/2016 5:45,5:45,0,0,0,0,0,0,0,0.0342,0.003,0,0,0,0,0,0
1/17/2016 6:00,6:00,0,0,0,0,0,0,0,0.032733333,0.003066667,0,1.0,0,0,0,0
1/17/2016 6:15,6:15,0,0,0,0,0,0,0,0.032,0.003,0,0,0,0,0,0
1/17/2016 6:30,6:30,0,0,0,0,0,0,0,0.032,0.003,0,0,0,0,0,0
1/17/2016 6:45,6:45,0,0,0,0,0,0,0,0.032,0.003,0,0,0,0,0,0
1/17/2016 7:00,7:00,0,0,0.009866667,0,0,0,0,0.056866667,0.003066667,0,1.0,0,0,0,0
1/17/2016 7:15,7:15,0,0,0.0906,0,0,0,0.000266667,0.1004,0.074533333,0,3.0,1,1,0,0
1/17/2016 7:30,7:30,0,0,0.103733333,0,0,0,0.000266667,0.3034,0.075466667,0,5.0,1,1,0,0
1/17/2016 7:45,7:45,0,0,0.0952,0.001666667,0.000733333,0.000866667,0.950266667,0.289466667,0.002333333,0,7.0,1,1,0,0
1/17/2016 8:00,8:00,0,0,0.099466667,0.0006,0,0,0.2502,0.246133333,0.003466667,0,5.0,1,1,0,0
1/17/2016 8:15,8:15,0,0,0.1502,0,0,0,0,0.2346,0.004,0,5.83333333333303,0,0,0,0
1/17/2016 8:30,8:30,0,0,0,0,0,0,0,0.234466667,0.003266667,0,0.16666666666696983,0,0,0,0
1/17/2016 8:45,8:45,0,0,0,0,0,0,0,0.241933333,0.0032,0,10.0,0,0,0,0
1/17/2016 9:00,9:00,0,0,0,0,0,0,0,0.130666667,0.0034,0,1.0,0,0,0,0
1/17/2016 9:15,9:15,0,0,0,0,0,0,0,0.034,0.003,0,0,0,0,0,0
1/17/2016 9:30,9:30,0,0,0,0,0,0,0,0.034,0.003,0,0,0,0,0,0
1/17/2016 9:45,9:45,0,0,0,0,0,0,0,0.034,0.003133333,0,0,0,0,0,0
1/17/2016 10:00,10:00,0,0,0,0,0,0,0,0.032466667,0.003733333,0,0,0,0,0,0
1/17/2016 10:15,10:15,0,0,0,0,0,0,0,0.0322,0.003266667,0,0,0,0,0,0
1/17/2016 10:30,10:30,0,0,0,0,0,0,0,0.0348,0.003,0,0,0,0,0,0
1/17/2016 10:45,10:45,0,0.4224,0,0,0,0,0,0.036333333,0.0036,0,0,0,0,1,0
1/17/2016 11:00,11:00,0,3.316533333,0,0,0,0,0.0002,0.049066667,0.068066667,0.000266667,0,1,0,0,0
1/17/2016 11:15,11:15,0,2.879333333,0,0,0,0,0,0.0328,0.004,0,0,0,0,0,0
1/17/2016 11:30,11:30,0,0.005933333,0,0,0,0,0,0.0344,0.003933333,0,0,0,0,0,0
1/17/2016 11:45,11:45,0,0,0,0,0,0,0,0.034466667,0.003,0,0,0,0,0,0
1/17/2016 12:00,12:00,0,0,0,0.001266667,0,0,0.4468,0.032666667,0.002666667,0,0,1,0,0,0
1/17/2016 12:15,12:15,0,0,0,0,0,0,0.0524,0.042866667,0.070733333,0,1.0,1,1,0,0
1/17/2016 12:30,12:30,0,0,0,0,0,0,0,0.0326,0.004866667,0,0,0,0,0,0
1/17/2016 12:45,12:45,0,0,0,0,0,0,0,0.032733333,0.004133333,0,0,0,0,0,0
1/17/2016 13:00,13:00,0,0,0,0,0,0,0,0.034266667,0.004866667,0,0,0,0,0,0
1/17/2016 13:15,13:15,0,0,0,0,0,0,0,0.0464,0.005,0,0,0,0,0,0
1/17/2016 13:30,13:30,0,0,0,0,0,0,0,0.056733333,0.004333333,0,0,0,0,0,0
1/17/2016 13:45,13:45,0,0,0,0,0,0,0,0.0552,0.004,0,0,0,0,0,0
1/17/2016 14:00,14:00,0,0,0,0,0,0,0,0.055066667,0.004,0,0,0,0,0,0
1/17/2016 14:15,14:15,0,0,0,0,0,0,0,0.064133333,0.004,0,1.0,0,0,0,0
1/17/2016 14:30,14:30,0,0,0,0,0,0,0,0.036533333,0.003933333,0,0,0,0,0,0
1/17/2016 14:45,14:45,0,0,0,0,0,0,0,0.032266667,0.003933333,0,0,0,0,0,0
1/17/2016 15:00,15:00,0,0,0,0,0,0,0,0.034933333,0.003,0,0,0,0,0,0
1/17/2016 15:15,15:15,0,0,0,0,0,0,0,0.034,0.0038,0,0,0,0,0,0
1/17/2016 15:30,15:30,0,0,0,0,0,0,0,0.034,0.004,0,0,0,0,0,0
1/17/2016 15:45,15:45,0,0,0,0,0,0,0,0.034,0.004,0,0,0,0,0,0
1/17/2016 16:00,16:00,0,0,0,0,0,0,0,0.034133333,0.003533333,0,0,0,0,0,0
1/17/2016 16:15,16:15,0,0,0,0,0,0,0,0.034,0.0032,0,0,0,0,0,0
1/17/2016 16:30,16:30,0,0,0,0,0,0,0,0.0342,0.004,0,0,0,0,0,0
1/17/2016 16:45,16:45,0,0,0,0,0,0,0,0.034,0.003866667,0,0,0,0,0,0
1/17/2016 17:00,17:00,0,0,0,0,0,0,0,0.034933333,0.004,0,2.0,0,0,0,0
