Date,Time,Washing Machine,Dishwasher,Dryer,Furnace,Microwave,Oven,Refrigerator
1/1/2014 0:00,0:00,0,0.008,0,0.01,0.01,0,0.122466667
1/1/2014 0:15,0:15,0,0.008,0,0.01,0.01,0,0.124466667
1/1/2014 0:30,0:30,0,0.008,0,0.01,0.01,0,0.124733333
1/1/2014 0:45,0:45,0,0.008,0,0.01,0.01,0,0.115666667
1/1/2014 1:00,1:00,0,0.008,0,0.01,0.01,0,0.112
1/1/2014 1:15,1:15,0,0.005066667,0,0.01,0.01,0,0.109666667
1/1/2014 1:30,1:30,0,0,0,0.010533333,0.009466667,0,0.1082
1/1/2014 1:45,1:45,0,0,0,0.011,0.009,0,0.106266667
1/1/2014 2:00,2:00,0,0,0,0.011,0.009,0,0.094533333
1/1/2014 2:15,2:15,0,0,0,0.011,0.009,0,0.005
1/1/2014 2:30,2:30,0,0,0,0.011,0.009,0,0.005
1/1/2014 2:45,2:45,0,0,0,0.011,0.0086,0,0.005
1/1/2014 3:00,3:00,0,0,0,0.011,0.008,0,0.005
1/1/2014 3:15,3:15,0,0,0,0.011,0.008,0,0.005
1/1/2014 3:30,3:30,0,0,0,0.011,0.008,0,0.005
1/1/2014 3:45,3:45,0.0008,0.001266667,0,0.235733333,0.008,0,0.005
1/1/2014 4:00,4:00,0.003,0.004,0,0.5958,0.008,0,0.005
1/1/2014 4:15,4:15,0.003,0.004,0,0.579866667,0.008,0,0.005
1/1/2014 4:30,4:30,0.003,0.004,0,0.582866667,0.008,0,0.005
1/1/2014 4:45,4:45,0.0028,0.004,0,0.579866667,0.008,0,0.047666667
1/1/2014 5:00,5:00,0,0.000266667,0,0.046733333,0.008,0,0.1258
1/1/2014 5:15,5:15,0,0,0,0.011,0.008,0,0.1272
1/1/2014 5:30,5:30,0,0,0,0.011,0.008,0,0.126733333
1/1/2014 5:45,5:45,0,0,0,0.011,0.008,0,0.121
1/1/2014 6:00,6:00,0,0,0,0.011,0.008,0,0.116533333
1/1/2014 6:15,6:15,0,0,0,0.011,0.008,0,0.1136
1/1/2014 6:30,6:30,0,0,0,0.011,0.008,0,0.111133333
1/1/2014 6:45,6:45,0,0,0,0.011,0.008,0,0.1084
1/1/2014 7:00,7:00,0,0,0,0.011,0.008,0,0.107133333
1/1/2014 7:15,7:15,0.0016,0.002133333,0,0.327666667,0.008,0,0.102933333
1/1/2014 7:30,7:30,0.003,0.004,0,0.5736,0.008,0,0.022666667
1/1/2014 7:45,7:45,0.0024,0.003666667,0,0.5268,0.008,0,0.005
1/1/2014 8:00,8:00,0,0,0,0.011,0.008,0,0.005
1/1/2014 8:15,8:15,0,0,0,0.011,0.008,0,0.005
1/1/2014 8:30,8:30,0,0,0,0.011,0.008,0,0.005
1/1/2014 8:45,8:45,0,0,0,0.011,0.008,0,0.005
1/1/2014 9:00,9:00,0,0,0,0.011,0.008,0,0.005
1/1/2014 9:15,9:15,0.0006,0.001066667,0,0.1646,0.008,0,0.005
1/1/2014 9:30,9:30,0.003,0.004,0,0.5794,0.008,0,0.0056
1/1/2014 9:45,9:45,0.0006,0.001333333,0,0.2102,0.008,0,0.005
1/1/2014 10:00,10:00,0,0,0,0.011,0.008,0,0.0634
1/1/2014 10:15,10:15,0,0,0,0.011,0.008,0,0.121866667
1/1/2014 10:30,10:30,0,0,0,0.011,0.008,0,0.1168
1/1/2014 10:45,10:45,0,0,0,0.0116,0.008,0,0.113333333
1/1/2014 11:00,11:00,0,0.0002,0,0.011933333,0.133933333,0,0.112933333
1/1/2014 11:15,11:15,0,0,0,0.011066667,0.009,0,0.108133333
1/1/2014 11:30,11:30,0,0,0,0.010066667,0.008866667,0,0.101866667
1/1/2014 11:45,11:45,0,0,0,0.01,0.008933333,0,0.1008
1/1/2014 12:00,12:00,0,0,0,0.010266667,0.009,0,0.014066667
1/1/2014 12:15,12:15,0,0,0,0.01,0.009,0,0.004
1/1/2014 12:30,12:30,0,0,0,0.01,0.009,0,0.004
1/1/2014 12:45,12:45,0,0,0,0.0108,0.009,0,0.004466667
1/1/2014 13:00,13:00,0,0,0,0.01,0.008866667,0,0.004866667
1/1/2014 13:15,13:15,0,0,0,0.01,0.009,0,0.005
1/1/2014 13:30,13:30,0,0,0,0.01,0.008866667,0,0.005
1/1/2014 13:45,13:45,0,0,0,0.01,0.008933333,0,0.004733333
1/1/2014 14:00,14:00,0,0,0,0.01,0.0086,0,0.004
1/1/2014 14:15,14:15,0,0,0,0.0106,0.008466667,0,0.004
1/1/2014 14:30,14:30,0,0,0,0.012066667,0.009,0,0.092333333
1/1/2014 14:45,14:45,0,0,0,0.010533333,0.009,0,0.121066667
1/1/2014 15:00,15:00,0,0.000666667,0,0.0104,0.314133333,0.0002,0.165066667
1/1/2014 15:15,15:15,0,0.0004,0,0.0106,0.1444,0,0.114266667
1/1/2014 15:30,15:30,0,0,0,0.01,0.009,0,0.110133333
1/1/2014 15:45,15:45,0,0,0,0.01,0.008733333,0,0.1048
1/1/2014 16:00,16:00,0,0,0,0.010666667,0.008333333,0,0.1034
1/1/2014 16:15,16:15,0,0,0,0.01,0.008,0,0.101933333
1/1/2014 16:30,16:30,0,0,0,0.0108,0.008333333,0,0.099
1/1/2014 16:45,16:45,0,0,0,0.011666667,0.008,0,0.009933333
