Date,Time,Day,Washing Machine,On/Off,UserInteraction,Monday Usage,Tuesday Usage,Wednesday Usage,Thursday Usage,Friday Usage,Saturday Usage,Sunday Usage
1/1/2014 0:00,0:00,4,0,0,0,0,0,0,0,0,0,0
1/1/2014 0:15,0:15,4,0,0,,0,0,0,0,0,0,0
1/1/2014 0:30,0:30,4,0,0,,0,0,0,0,0,0,0
1/1/2014 0:45,0:45,4,0,0,,0,0,0,0,0,0,0
1/1/2014 1:00,1:00,4,0,0,,0,0,0,0,0,0,0
1/1/2014 1:15,1:15,4,0,0,,0,0,0,0,0,0,0
1/1/2014 1:30,1:30,4,0,0,,0,0,0,0,0,0,0
1/1/2014 1:45,1:45,4,0,0,,0,0,0,0,0,0,0
1/1/2014 2:00,2:00,4,0,0,,0,0,0,0,0,0,0
1/1/2014 2:15,2:15,4,0,0,,0,0,0,0,0,0,0
1/1/2014 2:30,2:30,4,0,0,,0,0,0,0,0,0,0
1/1/2014 2:45,2:45,4,0,0,,0,0,0,0,0,0,0
1/1/2014 3:00,3:00,4,0,0,,0,0,0,0,0,0,0
1/1/2014 3:15,3:15,4,0,0,,0,0,0,0,0,0,0
1/1/2014 3:30,3:30,4,0,0,,0,0,0,0,0,0,0
1/1/2014 3:45,3:45,4,0.0008,0,,0,0,0,0,0,0,0
1/1/2014 4:00,4:00,4,0.003,0,,0,0,0,0,0,0,0
1/1/2014 4:15,4:15,4,0.003,0,,0,0,0,0,0,0,0
1/1/2014 4:30,4:30,4,0.003,0,,0,0,0,0,0,0,0
1/1/2014 4:45,4:45,4,0.0028,0,,0,0,0,0,0,0,0
1/1/2014 5:00,5:00,4,0,0,,0,0,0,0,0,0,0
1/1/2014 5:15,5:15,4,0,0,,0,0,0,0,0,0,0
1/1/2014 5:30,5:30,4,0,0,,0,0,0,0,0,0,0
1/1/2014 5:45,5:45,4,0,0,,0,0,0,0,0,0,0
1/1/2014 6:00,6:00,4,0,0,,0,0,0,0,0,0,0
1/1/2014 6:15,6:15,4,0,0,,0,0,0,0,0,0,0
1/1/2014 6:30,6:30,4,0,0,,0,0,0,0,0,0,0
1/1/2014 6:45,6:45,4,0,0,,0,0,0,0,0,0,0
1/1/2014 7:00,7:00,4,0,0,,0,0,0,0,0,0,0
1/1/2014 7:15,7:15,4,0.0016,0,,0,0,0,0,0,0,0
1/1/2014 7:30,7:30,4,0.003,0,,0,0,0,0,0,0,0
